rank_order,rank,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank
155,155,51.1,155,35,191,44.1,120,40,83,33,198,84.7,50
156,156,51,156,48.5,124,37.7,132,-,157,42.5,160,63.2,133
156,156,51,157,49.3,118,23.2,171,49.6,55,49.6,110,58.2,157
158,158,50.7,158,67.3,34,16.3,190,50.1,53,41.7,167,48.9,180
159,159,50.4,159,39.4,177,58.6,83,-,153,43.6,154,65.5,122
159,159,50.4,160,38.4,182,16.8,188,100,7,51.9,95,61.3,140
161,161,50.3,162,40.1,171,31.6,146,-,145,33.6,196,78,79
161,161,50.3,161,43,158,24.1,170,-,142,44.1,150,66.9,117
163,163,50.2,163,46.1,142,21.3,179,37.5,97,50.6,103,58.9,151
164,164,50.1,164,65.1,41,24.7,165,-,156,44.7,147,45,188
165,165,50,166,40.8,169,59.8,81,40.6,76,47.8,129,59.6,147
165,165,50,165,42.5,162,38.2,130,38.8,89,49.2,116,60.2,145
167,167,49.9,167,38.1,185,33.4,140,61.5,35,55.6,76,57.3,160
168,168,49.8,168,46.2,141,50,103,38.3,92,48,128,55.6,164
168,168,49.8,169,48.7,122,40.3,125,-,194,40.9,171,60.4,143
170,170,49.7,170,41.7,166,35.5,136,34.2,106,56.4,69,54.1,167
171,171,49.6,171,46.2,139,29.3,157,41.2,74,34.7,192,70.2,106
172,172,49.4,172,39.2,180,56.1,90,41.6,72,37.3,179,69.5,108
173,173,49.3,173,39.9,172,-,192,-,144,35.7,189,70.4,103
174,174,49,174,43.6,152,96.3,6,40,82,51.7,98,45,189
174,174,49,176,46.8,133,74.8,43,38.4,91,44.1,153,52.5,171
174,174,49,175,42.1,165,62.8,71,29.7,126,40.4,173,62.8,135
177,177,48.8,177,44.1,151,45.8,114,26.1,141,45.7,142,58.3,155
178,178,48.5,179,39.4,179,87.1,25,40.8,75,38.8,177,60.5,142
178,178,48.5,180,46.8,132,46.8,111,29.4,128,33.8,194,65.3,123
178,178,48.5,178,50.9,102,46.1,113,27.8,132,44.5,148,52,174
181,181,48.3,181,53.2,91,57.9,85,98.7,11,54.4,83,32.9,198
182,182,48.2,182,50,111,63.8,66,56.6,44,42.5,161,48.9,181
183,183,47.7,183,39.5,176,27.2,161,43.9,64,39.5,175,66.4,119
184,184,47.6,184,40.4,170,62.8,72,32.2,115,42.5,162,57.9,159
185,185,47.5,185,49.9,112,62.4,76,49.8,54,48.3,125,42,192
186,186,47.3,186,42.7,161,93.6,11,-,183,40.1,174,51.3,177
187,187,47.2,187,45,147,47.3,110,40,81,35.4,190,60.7,141
187,187,47.2,188,37.9,186,99.5,3,35,102,34.8,191,60.2,146
189,189,47,189,45.9,143,57.8,86,32.3,114,36.3,183,57.3,161
190,190,46.9,192,43,159,28,160,40.4,79,48.7,121,52.2,172
190,190,46.9,191,43.6,153,18.9,185,32.5,112,40.4,172,61.5,139
190,190,46.9,190,45,146,60.6,77,27.4,134,35.9,187,58.2,156
193,193,46.8,193,41.6,167,44.9,115,-,149,50.2,108,48.8,182
193,193,46.8,194,49.1,119,64.2,63,100,4,56.2,70,29.2,199
195,195,46.7,195,47.6,129,63.2,68,27,136,45.7,143,45.6,184
196,196,46.5,196,33.5,196,15.9,191,26.3,139,33.3,197,76.8,83
197,197,46.4,197,57.8,68,51.8,101,-,180,46.8,137,34.7,197
197,197,46.4,198,54.6,87,29.6,155,70.3,31,41.3,169,44.3,190
199,199,46.2,199,32.9,198,51.9,100,37.9,94,44.2,149,60.2,144
199,199,46.2,200,43.3,156,-,196,99.9,8,49.5,111,41.7,193
